Timestamp,"Do you work, live or access services in Klickitat or Skamania County?",Please enter the ZIP CODE for the community you live in:,What are you involved in locally that helps you live a happy life or get support when you need it?,Which of these best describes your housing today?  (mark all that apply),Is HOUSING a challenge in your community?,"If you said 'yes', please mark all the reasons HOUSING is a problem for you or for people you know:",Did you or anyone else in your household lose a job as a result of COVID-19?,Do you have access to the internet at home?,How many people are in your household (sharing income and expenses)?,"During the past year, what was the total gross income for your household?  ",Is EMPLOYMENT a challenge in your community?,"If you said 'yes', please mark all the reasons EMPLOYMENT is a problem for you or for people you know:","During the 12 months BEFORE covid-19 lockdowns in March, did you or the people you live with worry that you would run out of food before you were able to get more?  ","During the months AFTER covid-19 lockdowns, did you or the people you live with worry that you would run out of food before you were able to get more?  ",Is FOOD a challenge in your community?,"If you said 'yes', please mark all the reasons FOOD is a problem for you or for people you know:",Is TRANSPORTATION a challenge in your community?,If you said 'yes' please mark all the reasons TRANSPORTATION is a problem for you or for people you know:,Is HEALTH CARE a challenge in your community?,"If you said 'yes', please mark all the reasons HEALTH CARE is a problem for you or for people you know:",Please mark the gender you most identify with: ,What age group are you in?,Please select the races or ethnicities you most identify with:,Please mark all WAGAP services you currently use:,"Please share how you feel about this statement: ""WAGAP has helped me learn how or where to get services or other things I need in life""","Please share how you feel about this statement: ""Working with WAGAP has made me feel more hopeful about my community or my life.""","If there are other big problems in your community, or you have an idea about how WAGAP could help - or if there is anything else you would like us to know, please explain here:",survey completed in Spanish
10/29/2020 17:56:43,No,,None,I have housing and I am NOT worried about losing it,No,,no,Yes,1,"$15,000 to $29,999",No,,"Yes, many times",Sometimes,No,Not enough income to purchase food,No,,No,,Female,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/30/2020 14:13:33,No,,None,I have housing and I am NOT worried about losing it,No,,no,Yes,1,"$15,000 to $29,999",No,,"Yes, many times",Sometimes,No,Not enough income to purchase food,No,,No,,Female,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
9/23/2020 16:05:47,Yes,98605,"Community or civic volunteer group, Volunteer firefighter ",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,1,"$30,000 to $44,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,No,n/a,No,n/a,"Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable",Male,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
9/23/2020 20:36:35,Yes,98605,"Hobby groups (books clubs, art club, etc.), Extended family, Close friends, Involvement in local politics (e.g., through Klickitat County Dems)","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of rent or house payment, Cost of utilities",no,Yes,1,"$45,000 to $64,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat",Toll to drive across bridge; no pedestrian or bicycle use of bridge,"Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options",Female,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,"Lack of communication (e.g., via Facebook) from the cities of Bingen and White Salmon about important information for the public. There is currently no streamlined way for residents to get updates on anything from contaminated water to city council meetings to programs like WAGAP's that address community needs. Both towns are too big now for news to travel just via word of mouth, but the cities haven't addressed this by creating or updating their social media accounts. This creates a knowledge gap that means programs like WAGAP's aren't well known in the community even though there is a huge need for their services.",
9/25/2020 19:39:10,Yes,98650,"Sports team or club, Hobby groups (books clubs, art club, etc.), Close friends","I have housing, but I AM WORRIED about losing it, Other living arrangement (hotel, staying with friends, etc.)","Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Sometimes,1,"$65,000 to $99,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",No,No,No,n/a,"Yes, a BIG problem!","Cost of buying and maintaining a car, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Language barrier (medical info hard to understand), Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation, Iím local ER nurse and all of these are approaching crisis levels",Female,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
9/25/2020 21:18:04,Yes,98650,"Sports team or club, Hobby groups (books clubs, art club, etc.), Close friends","I have housing, but I AM WORRIED about losing it, Other living arrangement (hotel, staying with friends, etc.)","Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Sometimes,1,"$65,000 to $99,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",No,No,No,n/a,"Yes, a BIG problem!","Cost of buying and maintaining a car, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Language barrier (medical info hard to understand), Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation, Iím local ER nurse and all of these are approaching crisis levels",Female,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
9/26/2020 17:14:12,Yes,98650,"Sports team or club, Hobby groups (books clubs, art club, etc.), Close friends","I have housing, but I AM WORRIED about losing it, Other living arrangement (hotel, staying with friends, etc.)","Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Sometimes,1,"$65,000 to $99,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",No,No,No,n/a,"Yes, a BIG problem!","Cost of buying and maintaining a car, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Language barrier (medical info hard to understand), Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation, Iím local ER nurse and all of these are approaching crisis levels",Female,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
9/29/2020 11:21:00,Yes,98605,"Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,1,"$45,000 to $64,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, somewhat",Limited public transportation,"Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Language barrier (medical info hard to understand), Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,NA,
9/29/2020 16:18:56,Yes,98672,Close friends,I have housing and I am NOT worried about losing it,No,n/a,no,Yes,1,"$45,000 to $64,999",No,n/a,No,No,No,n/a,No,Limited public transportation,No,n/a,Male,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/02/2020 11:42,Yes,98648,"Community or civic volunteer group, Extended family",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,1,"$45,000 to $64,999","Yes, somewhat","Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/03/2020 20:00,Yes,98610,None,I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,1,"$65,000 to $99,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,Sometimes,"Yes, somewhat",supply chain breaks - COVID showed us that,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Lack of transportation",Female,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,drug use and tweekers,
10/03/2020 23:16,Yes,98648,"Faith group or church, Community or civic volunteer group, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,1,"$45,000 to $64,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, a BIG problem!","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options",Female,18-64 years old,White,n/a (none),n/a - I have not been involved with WAGAP,Strongly Agree,,
10/03/2020 23:47,Yes,98648,Close friends,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,1,"$65,000 to $99,999","Yes, somewhat",,No,No,"Yes, somewhat",Not enough income to purchase food,"Yes, a BIG problem!",Limited public transportation,"Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Lack of transportation",Female,65 years or older,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/04/2020 05:14,Yes,98610,None,I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,1,"$45,000 to $64,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation","Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable",Male,65 years or older,White,n/a (none),n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
10/04/2020 06:48,Yes,98610,Close friends,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",yes,Sometimes,1,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",Sometimes,"Yes, many times","Yes, somewhat",Food is more expensive out here than in the city... alot more ,"Yes, somewhat",Cost of gasoline,"Yes, somewhat",No facilities for xrays or physical therapy,Female,18-64 years old,White,n/a (none),Agree,Neutral,Serious lack of jobs that pay enough to pay rent,
